Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
Tournament of Champions,HS,2020-04-17,CX,Semifi,Montgomery Bell BM,Iowa City CW,Aff,"Aff								2-1"
Tournament of Champions,HS,2020-04-17,CX,Quarte,Bellarmine  HM,Montgomery Bell BM,Neg,"Neg								3-0"
ADA Nationals at UNLV,C,2020-03-06,Nov,Semi,Boston College CG,Liberty SS,Neg,"Neg								3-0"
ADA Nationals at UNLV,C,2020-03-06,Nov,Quarte,Indiana WJ,Liberty SS,Neg,"Neg								3-0"
ADA Nationals at UNLV,C,2020-03-06,Nov,R6,Indiana WJ,Liberty MP,Aff,
ADA Nationals at UNLV,C,2020-03-06,Open,R5,George Mason HA,Kansas SS,Neg,
ADA Nationals at UNLV,C,2020-03-06,JV,R2,Liberty WW,George Mason JS,Aff,
Crestian Policy Classic,HS,2020-02-12,VAR,R6,Glenbrook North KP,Glenbrook South KL,Aff,
Crestian Policy Classic,HS,2020-02-12,VAR,R5,Niles West BB,Glenbrook North JR,Aff,
Crestian Policy Classic,HS,2020-02-12,VAR,R4,Glenbrook North CK,Niles West DS,Neg,
Crestian Policy Classic,HS,2020-02-12,VAR,R1,Glenbrook North BM,Greenhill LH,Neg,
Texas Open,C,2020-02-01,OP,R6,Emory GS,Michigan PR,Neg,
Texas Open,C,2020-02-01,OP,R4,Dartmouth LV,Michigan JS,Aff,
Barkley Forum for High Schools,HS,2020-01-24,PEL,ADW,Henry W Grady NW,Greenhill LH,Neg,"Neg								3-0"
Barkley Forum for High Schools,HS,2020-01-24,PEL,R6,Walter Payton  VR,Notre Dame DN,Neg,
Barkley Forum for High Schools,HS,2020-01-24,PEL,R3,Strath Haven DL,La Salle TC,Aff,
Barkley Forum for High Schools,HS,2020-01-24,PEL,R2,Greenhill LH,Glenbrook North BC,Aff,
Justin Wilson Debates Pace RR,HS,2020-01-22,CX,R5,Georgetown Day,Henry W Grady,Neg,"Neg								2-0"
